Time,Pressure_Main,Pressure_LL
10/21/2017 12:16,8.30E-09,1.40E-07
10/22/2017 17:16,8.20E-09,1.40E-07
10/22/2017 17:17,8.10E-09,1.30E-07
10/22/2017 17:18,8.10E-09,1.30E-07
10/22/2017 17:20,8.10E-09,1.30E-07
10/22/2017 17:24,8.20E-09,1.30E-07
10/22/2017 17:26,8.10E-09,1.30E-07
10/22/2017 17:27,8.20E-09,1.30E-07
10/22/2017 17:28,8.20E-09,1.30E-07
10/22/2017 17:31,8.30E-09,1.30E-07
10/22/2017 17:31,8.00E-09,1.30E-07
10/22/2017 17:33,8.20E-09,1.30E-07
10/22/2017 17:48,8.20E-09,1.20E-07
10/22/2017 18:03,8.10E-09,1.20E-07
10/22/2017 18:19,8.20E-09,1.10E-07
10/22/2017 18:34,8.20E-09,1.10E-07
10/22/2017 18:49,8.30E-09,1.00E-07
10/22/2017 19:04,8.30E-09,9.60E-08
10/22/2017 19:19,8.20E-09,9.20E-08
10/22/2017 19:34,8.20E-09,8.70E-08
10/22/2017 19:49,8.30E-09,8.40E-08
10/22/2017 20:04,8.10E-09,8.00E-08
10/22/2017 20:19,8.10E-09,7.70E-08
10/22/2017 20:34,8.20E-09,7.40E-08
10/22/2017 20:49,8.30E-09,7.20E-08
10/22/2017 21:04,8.20E-09,6.90E-08
10/22/2017 21:19,8.10E-09,6.70E-08
10/22/2017 21:34,8.00E-09,6.50E-08
10/22/2017 21:49,8.10E-09,6.30E-08
10/22/2017 22:04,8.10E-09,6.10E-08
10/22/2017 22:19,8.00E-09,5.90E-08
10/22/2017 22:34,8.10E-09,5.80E-08
10/22/2017 22:49,8.20E-09,5.60E-08
10/22/2017 23:04,8.20E-09,5.40E-08
10/22/2017 23:19,8.10E-09,5.30E-08
10/22/2017 23:35,8.10E-09,5.10E-08
10/22/2017 23:50,8.10E-09,5.00E-08
10/23/2017 0:05,8.00E-09,4.90E-08
10/23/2017 0:20,8.00E-09,4.80E-08
10/23/2017 0:35,8.10E-09,4.70E-08
10/23/2017 0:50,8.10E-09,4.60E-08
10/23/2017 1:05,8.00E-09,4.40E-08
10/23/2017 1:20,8.00E-09,4.40E-08
10/23/2017 1:35,8.10E-09,4.30E-08
10/23/2017 1:50,8.00E-09,4.20E-08
10/23/2017 2:05,8.10E-09,4.10E-08
10/23/2017 2:20,8.00E-09,4.00E-08
10/23/2017 2:35,8.00E-09,3.80E-08
10/23/2017 2:50,7.90E-09,3.80E-08
10/23/2017 3:05,8.00E-09,3.70E-08
10/23/2017 3:20,8.00E-09,3.70E-08
10/23/2017 3:35,7.90E-09,3.60E-08
10/23/2017 3:50,8.00E-09,3.50E-08
10/23/2017 4:05,7.90E-09,3.50E-08
10/23/2017 4:20,7.80E-09,3.40E-08
10/23/2017 4:35,7.90E-09,3.40E-08
10/23/2017 4:50,7.80E-09,3.30E-08
10/23/2017 5:05,8.00E-09,3.30E-08
10/23/2017 5:20,7.80E-09,3.20E-08
10/23/2017 5:35,7.80E-09,3.20E-08
